case_id,State abv.,Areaname,Family,Housing,Food,Transportation,Healthcare,Other Necessities ,Childcare,Taxes,Total,median_family_income
3172,TX,"Abilene, TX MSA",1p0c,8484,3014.58108,10162.779,5389.47984,4166.38956,0,4687.83576,35905.0668,66485.14729
3172,TX,"Abilene, TX MSA",1p1c,11460,4442.76048,10862.67996,8138.64552,5762.19684,6947.80152,4689.70308,52303.7868,66485.14729
3172,TX,"Abilene, TX MSA",1p2c,11460,6509.38548,11661.86724,10887.81084,6511.01664,11742.82104,4363.63296,63136.5348,66485.14729
3172,TX,"Abilene, TX MSA",1p3c,15420,8683.80756,12774.7752,13636.9764,8733.7602,13218.2124,5737.31256,78204.8436,66485.14729
3172,TX,"Abilene, TX MSA",1p4c,15420,10629.56832,13129.5144,16386.1416,9438.78588,13218.2124,5405.69532,83627.9184,66485.14729
3172,TX,"Abilene, TX MSA",2p0c,8796,5526.73284,12346.374,10778.95968,5189.69088,0,5418.54312,48056.3004,66485.14729
3172,TX,"Abilene, TX MSA",2p1c,11460,6878.57448,13109.952,13528.1256,6644.78904,6947.80152,6099.96864,64669.2132,66485.14729
3172,TX,"Abilene, TX MSA",2p2c,11460,8711.56716,14284.608,16277.2908,7308.95436,11742.82104,5770.56264,75555.8028,66485.14729
3172,TX,"Abilene, TX MSA",2p3c,15420,10636.1616,14623.0008,19026.456,9441.17436,13218.2124,6331.06272,88696.0668,66485.14729
3172,TX,"Abilene, TX MSA",2p4c,15420,13016.112,14765.52,21775.6212,10303.52496,13218.2124,5647.45308,94146.4452,66485.14729
3173,OH,"Akron, OH MSA",1p0c,6792,3236.2734,9402.31344,4309.35024,3633.639,0,4404.13476,31777.7112,77541.41057
3173,OH,"Akron, OH MSA",1p1c,10188,4769.48076,10264.22676,6643.62156,5419.68528,8444.76852,5345.39064,51075.1752,77541.41057
3173,OH,"Akron, OH MSA",1p2c,10188,6988.08696,11713.17264,8977.89252,6223.57392,14512.6908,5793.14832,64396.5648,77541.41057
3173,OH,"Akron, OH MSA",1p3c,12828,9322.41576,12487.5288,11312.16432,8025.969,16379.7432,7225.98408,77581.8048,77541.41057
3173,OH,"Akron, OH MSA",1p4c,12828,11411.26608,13014.7392,13646.436,8782.842,16379.7432,6895.81272,82958.8416,77541.41057
3173,OH,"Akron, OH MSA",2p0c,7968,5933.16876,11613.05784,8618.70048,5036.94144,0,5421.6288,44591.496,77541.41057
3173,OH,"Akron, OH MSA",2p1c,10188,7384.42608,13102.6548,10952.97144,6367.18284,8444.76852,6861.65256,63301.6584,77541.41057
